species	sample	strategy	k	rep	depth	n_truth_cl	n_pred_cl	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep4_d10	same	3	4	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.950	130.4
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep4_d1	same	3	4	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.120	27.5
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep4_d3	same	3	4	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.310	51.3
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep4_d5	same	3	4	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.490	77.3
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep5_d0.5	same	3	5	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.080	20.4
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep5_d10	same	3	5	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.950	124.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep5_d1	same	3	5	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.120	27.4
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep5_d3	same	3	5	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.290	49.2
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep5_d5	same	3	5	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.490	72.4
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep1_d0.5	same	5	1	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.110	24.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep1_d10	same	5	1	10	1	1	1	0	0	1.0000	1.0000	1.0000	1.630	198.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep1_d1	same	5	1	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.180	34.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep1_d3	same	5	1	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.500	74.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep1_d5	same	5	1	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.790	113.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep2_d0.5	same	5	2	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.110	24.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep2_d10	same	5	2	10	1	1	1	0	0	1.0000	1.0000	1.0000	1.540	200.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep2_d1	same	5	2	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.190	35.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep2_d3	same	5	2	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.510	74.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep2_d5	same	5	2	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.830	114.7
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep3_d0.5	same	5	3	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.110	24.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep3_d10	same	5	3	10	1	1	1	0	0	1.0000	1.0000	1.0000	1.550	189.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep3_d1	same	5	3	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.180	33.3
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep3_d3	same	5	3	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.490	70.5
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep3_d5	same	5	3	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.840	107.7
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep4_d0.5	same	5	4	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.110	24.4
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep4_d10	same	5	4	10	1	1	1	0	0	1.0000	1.0000	1.0000	2.000	201.0
